Title,Year,Rated,Genre,Actors,Plot,Language,Country,imdbID,BoxOffice,Production
Inception,2010,PG-13,"Action, Adventure, Sci-Fi, Thriller","Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Tom Hardy",A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,"English, Japanese, French","USA, UK",tt1375666,"$292,576,195","Syncopy, Warner Bros."
The Matrix,1999,R,"Action, Sci-Fi","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",English,USA,tt0133093,"$171,479,930","Village Roadshow Prod., Silver Pictures"
Avengers: Infinity War,2018,PG-13,"Action, Adventure, Sci-Fi","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,English,USA,tt4154756,"$678,815,482",Marvel Studios
Back to the Future,1985,PG,"Adventure, Comedy, Sci-Fi","Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover","Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",English,USA,tt0088763,"$211,406,762","Universal Pictures, Amblin Entertainment"
"The Good, the Bad and the Ugly",1966,R,Western,"Eli Wallach, Clint Eastwood, Lee Van Cleef, Aldo Giuffrè",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Italian,"Italy, Spain, West Germany, USA",tt0060196,"$25,100,000","Produzioni Europee Associati, Constantin Film"
Spider-Man: Into the Spider-Verse,2018,PG,"Animation, Action, Adventure, Family, Sci-Fi","Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali","Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","English, Spanish",USA,tt4633694,"$190,241,310","Sony Pictures Animation, Avi Arad, Pascal Pictures, Lord Miller"
The Pianist,2002,R,"Biography, Drama, Music, War","Adrien Brody, Emilia Fox, Michal Zebrowski, Ed Stoppard",A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,"English, German, Russian","UK, France, Poland, Germany, USA",tt0253474,"$32,572,577",Miramax
Django Unchained,2012,R,"Drama, Western","Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.","English, German, French, Italian",USA,tt1853728,"$162,805,434",A Band Apart
Indiana Jones and the Raiders of the Lost Ark,1981,PG,"Action, Adventure","Harrison Ford, Karen Allen, Paul Freeman, Ronald Lacey","In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.","English, German, Hebrew, Spanish, Arabic, Nepali",USA,tt0082971,"$248,159,971","Paramount Pictures, Lucasfilm Ltd."
Inglourious Basterds,2009,R,"Adventure, Drama, War","Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","English, German, French, Italian","USA, Germany",tt0361748,"$120,540,719","A Band Apart, Zehnte Babelsberg"
Taxi Driver,1976,R,"Crime, Drama","Diahnne Abbott, Frank Adu, Victor Argo, Gino Ardito","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.","English, Spanish",USA,tt0075314,"$28,262,574","Columbia Pictures, Italo/Judeo Productions, Bill/Phillips"
3 Idiots,2009,PG-13,"Comedy, Drama","Aamir Khan, Madhavan, Sharman Joshi, Kareena Kapoor","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".","Hindi, English",India,tt1187043,"$6,532,874",N/A
Pan's Labyrinth,2006,R,"Drama, Fantasy, War","Ivana Baquero, Sergi López, Maribel Verdú, Doug Jones","In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",Spanish,"Mexico, Spain",tt0457430,"$37,634,615","Warner Bros., Tequila Gang"
